src_tokens,trg_tokens,src_tokens_word,trg_tokens_word,src_ids,trg_ids,src_ids_word,trg_ids_word,src_len,trg_len,src_len_word,trg_len_word
"['▁i', '▁am', '▁tom', '.']","['▁म', '▁टम', '▁हुँ', '।']","['▁i', '▁am', '▁tom.']","['▁म', '▁टम', '▁हुँ।']","[2, 8, 104, 22, 4, 3]","[2, 6, 16, 140, 4, 3]","[2, 4, 28, 63, 3]","[2, 4, 5, 48, 3]",6,6,5,5
"['▁i', '▁dan', 'ced', '.']","['▁मैले', '▁नाच', 'े', '।']","['▁i', '▁danced.']","['▁मैले', '▁नाचे।']","[2, 8, 1653, 876, 4, 3]","[2, 88, 795, 2934, 4, 3]","[2, 4, 1, 3]","[2, 12, 2312, 3]",6,6,4,4
"['▁who', '▁am', '▁i', '?']","['▁म', '▁को', '▁हु', '?']","['▁who', '▁am', '▁i?']","['▁म', '▁को', '▁हु?']","[2, 213, 104, 8, 6, 3]","[2, 6, 132, 41, 5, 3]","[2, 69, 28, 1, 3]","[2, 4, 43, 1, 3]",6,6,5,5
"['▁can', '▁i', '▁eat', '?']","['▁के', '▁म', '▁खान', '▁सक्छु', '▁', '?']","['▁can', '▁i', '▁eat?']","['▁के', '▁म', '▁खान', '▁सक्छु', '▁?']","[2, 100, 8, 320, 6, 3]","[2, 34, 6, 238, 223, 2926, 5, 3]","[2, 45, 4, 1075, 3]","[2, 7, 4, 97, 392, 34, 3]",6,8,5,7
"['▁he', '▁is', '▁old', '.']","['▁उहाँ', '▁वृद्ध', '▁हुनुहुन्छ', '।']","['▁he', '▁is', '▁old.']","['▁उहाँ', '▁वृद्ध', '▁हुनुहुन्छ।']","[2, 46, 32, 414, 4, 3]","[2, 341, 1514, 142, 4, 3]","[2, 18, 9, 588, 3]","[2, 131, 795, 85, 3]",6,6,5,5
"['▁i', '▁am', '▁ok', 'ay', '.']","['▁म', '▁ठिक', '▁छु', '।']","['▁i', '▁am', '▁okay.']","['▁म', '▁ठिक', '▁छु।']","[2, 8, 104, 1182, 64, 4, 3]","[2, 6, 1406, 119, 4, 3]","[2, 4, 28, 1, 3]","[2, 4, 538, 26, 3]",7,6,5,5
"['▁i', '▁am', '▁sick', '.']","['▁म', '▁बिरामी', '▁छु', '।']","['▁i', '▁am', '▁sick.']","['▁म', '▁बिरामी', '▁छु।']","[2, 8, 104, 1005, 4, 3]","[2, 6, 510, 119, 4, 3]","[2, 4, 28, 660, 3]","[2, 4, 142, 26, 3]",6,6,5,5
"['▁i', '▁am', '▁sure', '.']","['▁म', '▁पक्का', '▁छु', '।']","['▁i', '▁am', '▁sure.']","['▁म', '▁पक्का', '▁छु।']","[2, 8, 104, 497, 4, 3]","[2, 6, 814, 119, 4, 3]","[2, 4, 28, 1319, 3]","[2, 4, 238, 26, 3]",6,6,5,5
"['▁i', '▁am', '▁tall', '.']","['▁म', '▁अग्लो', '▁छु', '।']","['▁i', '▁am', '▁tall.']","['▁म', '▁अग्लो', '▁छु।']","[2, 8, 104, 1094, 4, 3]","[2, 6, 689, 119, 4, 3]","[2, 4, 28, 2084, 3]","[2, 4, 188, 26, 3]",6,6,5,5
"['▁i', '▁am', '▁well', '.']","['▁म', '▁कु', 'श', 'ल', '▁छु', '।']","['▁i', '▁am', '▁well.']","['▁म', '▁कुशल', '▁छु।']","[2, 8, 104, 452, 4, 3]","[2, 6, 99, 2967, 2935, 119, 4, 3]","[2, 4, 28, 242, 3]","[2, 4, 1661, 26, 3]",6,8,5,5
"['▁i', '▁am', '▁crazy', '.']","['▁म', '▁पागल', '▁छु', '।']","['▁i', '▁am', '▁crazy.']","['▁म', '▁पागल', '▁छु।']","[2, 8, 104, 1737, 4, 3]","[2, 6, 1103, 119, 4, 3]","[2, 4, 28, 1148, 3]","[2, 4, 367, 26, 3]",6,6,5,5
"['▁i', '▁am', '▁crazy', '.']","['▁म', '▁पागल', '▁हुँ', '।']","['▁i', '▁am', '▁crazy.']","['▁म', '▁पागल', '▁हुँ।']","[2, 8, 104, 1737, 4, 3]","[2, 6, 1103, 140, 4, 3]","[2, 4, 28, 1148, 3]","[2, 4, 367, 48, 3]",6,6,5,5
"['▁i', '▁am', '▁sorry', '.']","['▁मलाई', '▁माफ', '▁गर्नुहोस्', '।']","['▁i', '▁am', '▁sorry.']","['▁मलाई', '▁माफ', '▁गर्नुहोस्।']","[2, 8, 104, 821, 4, 3]","[2, 49, 1084, 320, 4, 3]","[2, 4, 28, 1219, 3]","[2, 6, 383, 99, 3]",6,6,5,5
"['▁is', '▁it', '▁bad', '?']","['▁यो', '▁खराब', '▁छ', '?']","['▁is', '▁it', '▁bad?']","['▁यो', '▁खराब', '▁छ?']","[2, 32, 63, 625, 6, 3]","[2, 68, 1779, 13, 5, 3]","[2, 9, 17, 1, 3]","[2, 10, 651, 29, 3]",6,6,5,5
"['▁is', '▁it', '▁bad', '?']","['▁यो', '▁नराम्रो', '▁हो', '?']","['▁is', '▁it', '▁bad?']","['▁यो', '▁नराम्रो', '▁हो?']","[2, 32, 63, 625, 6, 3]","[2, 68, 1012, 56, 5, 3]","[2, 9, 17, 1, 3]","[2, 10, 364, 35, 3]",6,6,5,5
"['▁may', '▁i', '▁eat', '?']","['▁के', '▁म', '▁खान', '▁सक्छु', '▁', '?']","['▁may', '▁i', '▁eat?']","['▁के', '▁म', '▁खान', '▁सक्छु', '▁?']","[2, 448, 8, 320, 6, 3]","[2, 34, 6, 238, 223, 2926, 5, 3]","[2, 163, 4, 1075, 3]","[2, 7, 4, 97, 392, 34, 3]",6,8,5,7
"['▁who', '▁is', '▁he', '?']","['▁ऊ', '▁को', '▁हो', '?']","['▁who', '▁is', '▁he?']","['▁ऊ', '▁को', '▁हो?']","[2, 213, 32, 46, 6, 3]","[2, 196, 132, 56, 5, 3]","[2, 69, 9, 234, 3]","[2, 38, 43, 35, 3]",6,6,5,5
"['▁good', '▁night', '.']","['▁शुभ', '▁रात्री', '।']","['▁good', '▁night.']","['▁शुभ', '▁रात्री।']","[2, 223, 519, 4, 3]","[2, 799, 2660, 4, 3]","[2, 79, 259, 3]","[2, 799, 2896, 3]",5,5,4,4
"['▁he', '▁is', '▁laz', 'y', '.']","['▁ऊ', '▁अ', 'ल्छ', 'ी', '▁छ', '▁', '।']","['▁he', '▁is', '▁lazy.']","['▁ऊ', '▁अल्छी', '▁छ', '▁।']","[2, 46, 32, 2780, 2985, 4, 3]","[2, 196, 42, 2096, 2945, 13, 2926, 4, 3]","[2, 18, 9, 2344, 3]","[2, 38, 1461, 22, 14, 3]",7,9,5,6
"['▁he', '▁is', '▁nice', '.']","['▁उहाँ', '▁राम्रो', '▁हुनुहुन्छ', '।']","['▁he', '▁is', '▁nice.']","['▁उहाँ', '▁राम्रो', '▁हुनुहुन्छ।']","[2, 46, 32, 864, 4, 3]","[2, 341, 175, 142, 4, 3]","[2, 18, 9, 1335, 3]","[2, 131, 30, 85, 3]",6,6,5,5
"['▁he', '▁is', '▁nice', '.']","['▁उ', '▁राम्रो', '▁छ', '।']","['▁he', '▁is', '▁nice.']","['▁उ', '▁राम्रो', '▁छ।']","[2, 46, 32, 864, 4, 3]","[2, 61, 175, 13, 4, 3]","[2, 18, 9, 1335, 3]","[2, 414, 30, 9, 3]",6,6,5,5
"['▁he', '▁is', '▁poor', '.']","['▁ऊ', '▁गर', 'ि', 'ब', '▁छ', '।']","['▁he', '▁is', '▁poor.']","['▁ऊ', '▁गरिब', '▁छ।']","[2, 46, 32, 1577, 4, 3]","[2, 196, 101, 2936, 2950, 13, 4, 3]","[2, 18, 9, 1767, 3]","[2, 38, 1774, 9, 3]",6,8,5,5
"['▁he', '▁is', '▁sick', '.']","['▁उहाँ', '▁बिरामी', '▁हुनुहुन्छ', '।']","['▁he', '▁is', '▁sick.']","['▁उहाँ', '▁बिरामी', '▁हुनुहुन्छ।']","[2, 46, 32, 1005, 4, 3]","[2, 341, 510, 142, 4, 3]","[2, 18, 9, 660, 3]","[2, 131, 142, 85, 3]",6,6,5,5
"['▁he', '▁is', '▁sick', '.']","['▁ऊ', '▁बिरामी', '▁छ', '।']","['▁he', '▁is', '▁sick.']","['▁ऊ', '▁बिरामी', '▁छ।']","[2, 46, 32, 1005, 4, 3]","[2, 196, 510, 13, 4, 3]","[2, 18, 9, 660, 3]","[2, 38, 142, 9, 3]",6,6,5,5
"['▁how', '▁love', 'ly', '!']","['▁कति', '▁प', '्यारो', '!']","['▁how', '▁lovely!']","['▁कति', '▁प्यारो!']","[2, 153, 351, 113, 5, 3]","[2, 230, 21, 1764, 2982, 3]","[2, 43, 1, 3]","[2, 50, 2460, 3]",6,6,4,4
"['▁i', '▁am', '▁a', '▁boy', '.']","['▁म', '▁केटा', '▁हुँ', '।']","['▁i', '▁am', '▁a', '▁boy.']","['▁म', '▁केटा', '▁हुँ।']","[2, 8, 104, 9, 798, 4, 3]","[2, 6, 1439, 140, 4, 3]","[2, 4, 28, 11, 985, 3]","[2, 4, 1667, 48, 3]",7,6,6,5
"['▁i', '▁am', '▁a', '▁man', '.']","['▁म', '▁एक', '▁मानिस', '▁हुँ', '।']","['▁i', '▁am', '▁a', '▁man.']","['▁म', '▁एक', '▁मानिस', '▁हुँ।']","[2, 8, 104, 9, 242, 4, 3]","[2, 6, 134, 692, 140, 4, 3]","[2, 4, 28, 11, 476, 3]","[2, 4, 24, 1213, 48, 3]",7,7,6,6
"['▁i', '▁am', '▁happy', '.']","['▁म', '▁खुशी', '▁छु', '।']","['▁i', '▁am', '▁happy.']","['▁म', '▁खुशी', '▁छु।']","[2, 8, 104, 521, 4, 3]","[2, 6, 875, 119, 4, 3]","[2, 4, 28, 315, 3]","[2, 4, 300, 26, 3]",6,6,5,5
"['▁i', '▁am', '▁human', '.']","['▁म', '▁मान', 'व', '▁हुँ', '।']","['▁i', '▁am', '▁human.']","['▁म', '▁मानव', '▁हुँ।']","[2, 8, 104, 2893, 4, 3]","[2, 6, 591, 2958, 140, 4, 3]","[2, 4, 28, 1, 3]","[2, 4, 2806, 48, 3]",6,7,5,5
"['▁i', '▁am', '▁human', '.']","['▁म', '▁मान्छे', '▁हुँ', '।']","['▁i', '▁am', '▁human.']","['▁म', '▁मान्छे', '▁हुँ।']","[2, 8, 104, 2893, 4, 3]","[2, 6, 496, 140, 4, 3]","[2, 4, 28, 1, 3]","[2, 4, 143, 48, 3]",6,6,5,5
"['▁i', '▁am', '▁short', '.']","['▁म', '▁हो', 'चो', '▁छु', '।']","['▁i', '▁am', '▁short.']","['▁म', '▁होचो', '▁छु।']","[2, 8, 104, 1327, 4, 3]","[2, 6, 56, 2885, 119, 4, 3]","[2, 4, 28, 2481, 3]","[2, 4, 1, 26, 3]",6,7,5,5
"['▁i', '▁am', '▁smart', '.']","['▁म', '▁स्', 'मा', 'र्ट', '▁छु', '।']","['▁i', '▁am', '▁smart.']","['▁म', '▁स्मार्ट', '▁छु।']","[2, 8, 104, 1850, 4, 3]","[2, 6, 245, 29, 578, 119, 4, 3]","[2, 4, 28, 1949, 3]","[2, 4, 1, 26, 3]",6,8,5,5
"['▁i', '▁eat', '▁fish', '.']","['▁म', '▁माछा', '▁खान्छु', '।']","['▁i', '▁eat', '▁fish.']","['▁म', '▁माछा', '▁खान्छु।']","[2, 8, 320, 1169, 4, 3]","[2, 6, 879, 332, 4, 3]","[2, 4, 154, 1004, 3]","[2, 4, 281, 82, 3]",6,6,5,5
"['▁i', '▁eat', '▁here', '.']","['▁म', '▁यहाँ', '▁खान्छु', '।']","['▁i', '▁eat', '▁here.']","['▁म', '▁यहाँ', '▁खान्छु।']","[2, 8, 320, 169, 4, 3]","[2, 6, 232, 332, 4, 3]","[2, 4, 154, 100, 3]","[2, 4, 55, 82, 3]",6,6,5,5
"['▁i', '▁eat', '▁meat', '.']","['▁म', '▁मासु', '▁खान्छु', '।']","['▁i', '▁eat', '▁meat.']","['▁म', '▁मासु', '▁खान्छु।']","[2, 8, 320, 1839, 4, 3]","[2, 6, 741, 332, 4, 3]","[2, 4, 154, 1803, 3]","[2, 4, 223, 82, 3]",6,6,5,5
"['▁i', '▁eat', '▁p', 'ork', '.']","['▁म', '▁सुँगुरको', '▁मासु', '▁खान्छु', '।']","['▁i', '▁eat', '▁pork.']","['▁म', '▁सुँगुरको', '▁मासु', '▁खान्छु।']","[2, 8, 320, 42, 971, 4, 3]","[2, 6, 2800, 741, 332, 4, 3]","[2, 4, 154, 1, 3]","[2, 4, 1319, 223, 82, 3]",7,7,5,6
"['▁i', '▁eat', '▁p', 'ork', '.']","['▁म', '▁पो', 'र्क', '▁खान्छु', '।']","['▁i', '▁eat', '▁pork.']","['▁म', '▁पोर्क', '▁खान्छु।']","[2, 8, 320, 42, 971, 4, 3]","[2, 6, 940, 483, 332, 4, 3]","[2, 4, 154, 1, 3]","[2, 4, 2454, 82, 3]",7,7,5,5
"['▁i', '▁eat', '▁rice', '.']","['▁म', '▁भात', '▁खान्छु', '।']","['▁i', '▁eat', '▁rice.']","['▁म', '▁भात', '▁खान्छु।']","[2, 8, 320, 2053, 4, 3]","[2, 6, 467, 332, 4, 3]","[2, 4, 154, 2889, 3]","[2, 4, 128, 82, 3]",6,6,5,5
"['▁i', '▁feel', '▁old', '.']","['▁मलाई', '▁बुढो', '▁हु', 'दै', '▁गए', '▁जस्तो', '▁लाग्छ', '।']","['▁i', '▁feel', '▁old.']","['▁मलाई', '▁बुढो', '▁हुदै', '▁गए', '▁जस्तो', '▁लाग्छ।']","[2, 8, 476, 414, 4, 3]","[2, 49, 1806, 41, 109, 615, 276, 167, 4, 3]","[2, 4, 210, 588, 3]","[2, 6, 763, 1, 953, 68, 176, 3]",6,10,5,8
"['▁i', '▁like', '▁you', '.']","['▁म', '▁तिमीलाई', '▁मन', '▁पराउँछु', '।']","['▁i', '▁like', '▁you.']","['▁म', '▁तिमीलाई', '▁मन', '▁पराउँछु।']","[2, 8, 133, 21, 4, 3]","[2, 6, 309, 124, 1947, 4, 3]","[2, 4, 35, 48, 3]","[2, 4, 74, 25, 734, 3]",6,7,5,6
"['▁i', '▁love', '▁you', '.']","['▁म', '▁तिमीलाई', '▁माया', '▁गर्छु', '।']","['▁i', '▁love', '▁you.']","['▁म', '▁तिमीलाई', '▁माया', '▁गर्छु।']","[2, 8, 351, 21, 4, 3]","[2, 6, 309, 983, 437, 4, 3]","[2, 4, 143, 48, 3]","[2, 4, 74, 460, 139, 3]",6,7,5,6
"['▁i', '▁miss', '▁you', '.']","['▁म', '▁तिमीलाई', '▁सम्झन्छु', '।']","['▁i', '▁miss', '▁you.']","['▁म', '▁तिमीलाई', '▁सम्झन्छु।']","[2, 8, 671, 21, 4, 3]","[2, 6, 309, 1983, 4, 3]","[2, 4, 392, 48, 3]","[2, 4, 74, 814, 3]",6,6,5,5
"['▁i', '▁am', '▁ch', 'ub', 'by', '.']","['▁म', '▁मोटो', '▁छु', '।']","['▁i', '▁am', '▁chubby.']","['▁म', '▁मोटो', '▁छु।']","[2, 8, 104, 266, 941, 1316, 4, 3]","[2, 6, 2426, 119, 4, 3]","[2, 4, 28, 1, 3]","[2, 4, 1223, 26, 3]",8,6,5,5
"['▁i', '▁am', '▁ch', 'ub', 'by', '.']","['▁म', '▁मो', 'टी', '▁छु', '।']","['▁i', '▁am', '▁chubby.']","['▁म', '▁मोटी', '▁छु।']","[2, 8, 104, 266, 941, 1316, 4, 3]","[2, 6, 854, 418, 119, 4, 3]","[2, 4, 28, 1, 3]","[2, 4, 2854, 26, 3]",8,7,5,5
"['▁love', '▁hurts', '.']","['▁माया', 'ले', '▁दुख', '▁दिन्छ', '।']","['▁love', '▁hurts.']","['▁मायाले', '▁दुख', '▁दिन्छ।']","[2, 351, 2611, 4, 3]","[2, 983, 18, 670, 1853, 4, 3]","[2, 143, 1875, 3]","[2, 2816, 718, 716, 3]",5,7,4,5
"['▁turn', '▁it', '▁up', '.']","['▁अलिक', '▁ठूलो', '▁बनाउनुहोस्', '।']","['▁turn', '▁it', '▁up.']","['▁अलिक', '▁ठूलो', '▁बनाउनुहोस्।']","[2, 584, 63, 196, 4, 3]","[2, 803, 531, 1316, 4, 3]","[2, 299, 17, 244, 3]","[2, 491, 149, 447, 3]",6,6,5,5
"['▁we', '▁are', '▁men', '.']","['▁हामी', '▁पुरुष', '▁हौं', '।']","['▁we', '▁are', '▁men.']","['▁हामी', '▁पुरुष', '▁हौं।']","[2, 61, 73, 1268, 4, 3]","[2, 123, 1860, 863, 4, 3]","[2, 21, 15, 1960, 3]","[2, 39, 1127, 339, 3]",6,6,5,5
"['▁who', '▁is', '▁tom', '?']","['▁टम', '▁को', '▁हो', '?']","['▁who', '▁is', '▁tom?']","['▁टम', '▁को', '▁हो?']","[2, 213, 32, 22, 6, 3]","[2, 16, 132, 56, 5, 3]","[2, 69, 9, 140, 3]","[2, 5, 43, 35, 3]",6,6,5,5
"['▁be', 'ers', '▁good', '.']","['▁बियर', '▁राम्रो', '▁हो', '।']","['▁beers', '▁good.']","['▁बियर', '▁राम्रो', '▁हो।']","[2, 60, 280, 223, 4, 3]","[2, 685, 175, 56, 4, 3]","[2, 1, 366, 3]","[2, 243, 30, 15, 3]",6,6,4,5
"['▁be', 'ers', '▁good', '.']","['▁बियर', '▁राम्रो', '▁छ', '।']","['▁beers', '▁good.']","['▁बियर', '▁राम्रो', '▁छ।']","[2, 60, 280, 223, 4, 3]","[2, 685, 175, 13, 4, 3]","[2, 1, 366, 3]","[2, 243, 30, 9, 3]",6,6,4,5
"['▁do', '▁not', '▁worry', '.']","['▁चिन्ता', '▁नगर', '।']","['▁do', '▁not', '▁worry.']","['▁चिन्ता', '▁नगर।']","[2, 35, 37, 1153, 4, 3]","[2, 820, 1080, 4, 3]","[2, 12, 10, 1098, 3]","[2, 233, 727, 3]",6,5,5,4
"['▁do', '▁not', '▁worry', '.']","['▁चिन्ता', '▁नगर', '!']","['▁do', '▁not', '▁worry.']","['▁चिन्ता', '▁नगर!']","[2, 35, 37, 1153, 4, 3]","[2, 820, 1080, 2982, 3]","[2, 12, 10, 1098, 3]","[2, 233, 2270, 3]",6,5,5,4
"['▁have', '▁a', '▁beer', '.']","['▁बियर', '▁खा', 'नुहोस्', '।']","['▁have', '▁a', '▁beer.']","['▁बियर', '▁खानुहोस्।']","[2, 65, 9, 1270, 4, 3]","[2, 685, 145, 113, 4, 3]","[2, 13, 11, 968, 3]","[2, 243, 1724, 3]",6,6,5,4
"['▁he', '▁is', '▁alone', '.']","['▁ऊ', '▁एक्लै', '▁छ', '▁', '।']","['▁he', '▁is', '▁alone.']","['▁ऊ', '▁एक्लै', '▁छ', '▁।']","[2, 46, 32, 677, 4, 3]","[2, 196, 372, 13, 2926, 4, 3]","[2, 18, 9, 327, 3]","[2, 38, 91, 22, 14, 3]",6,7,5,6
"['▁he', '▁is', '▁alone', '.']","['▁उहाँ', '▁एक्लै', '▁हुनुहुन्छ', '।']","['▁he', '▁is', '▁alone.']","['▁उहाँ', '▁एक्लै', '▁हुनुहुन्छ।']","[2, 46, 32, 677, 4, 3]","[2, 341, 372, 142, 4, 3]","[2, 18, 9, 327, 3]","[2, 131, 91, 85, 3]",6,6,5,5
"['▁he', '▁is', '▁eight', '.']","['▁ऊ', '▁आठ', '▁वर्षको', '▁छ', '।']","['▁he', '▁is', '▁eight.']","['▁ऊ', '▁आठ', '▁वर्षको', '▁छ।']","[2, 46, 32, 1829, 4, 3]","[2, 196, 2130, 350, 13, 4, 3]","[2, 18, 9, 2534, 3]","[2, 38, 873, 84, 9, 3]",6,7,5,6
"['▁he', '▁is', '▁happy', '.']","['▁ऊ', '▁खुसी', '▁छ', '।']","['▁he', '▁is', '▁happy.']","['▁ऊ', '▁खुसी', '▁छ।']","[2, 46, 32, 521, 4, 3]","[2, 196, 395, 13, 4, 3]","[2, 18, 9, 315, 3]","[2, 38, 98, 9, 3]",6,6,5,5
"['▁he', '▁is', '▁happy', '.']","['▁उहाँ', '▁खुसी', '▁हुनुहुन्छ', '।']","['▁he', '▁is', '▁happy.']","['▁उहाँ', '▁खुसी', '▁हुनुहुन्छ।']","[2, 46, 32, 521, 4, 3]","[2, 341, 395, 142, 4, 3]","[2, 18, 9, 315, 3]","[2, 131, 98, 85, 3]",6,6,5,5
"['▁here', '▁we', '▁are', '!']","['▁हामी', '▁यहाँ', '▁छौ', '!']","['▁here', '▁we', '▁are!']","['▁हामी', '▁यहाँ', '▁छौ!']","[2, 169, 61, 73, 5, 3]","[2, 123, 232, 715, 2982, 3]","[2, 99, 21, 1, 3]","[2, 39, 55, 1966, 3]",6,6,5,5
"['▁here', '▁we', '▁are', '.']","['▁हामी', '▁यहाँ', '▁छौ', '।']","['▁here', '▁we', '▁are.']","['▁हामी', '▁यहाँ', '▁छौ।']","[2, 169, 61, 73, 4, 3]","[2, 123, 232, 715, 4, 3]","[2, 99, 21, 593, 3]","[2, 39, 55, 689, 3]",6,6,5,5
"['▁i', '▁also', '▁went', '.']","['▁म', '▁पनि', '▁गएँ', '।']","['▁i', '▁also', '▁went.']","['▁म', '▁पनि', '▁गएँ।']","[2, 8, 1887, 432, 4, 3]","[2, 6, 182, 430, 4, 3]","[2, 4, 844, 1, 3]","[2, 4, 31, 178, 3]",6,6,5,5
"['▁i', '▁am', '▁a', '▁cook', '.']","['▁म', '▁कुक', '▁हुँ', '।']","['▁i', '▁am', '▁a', '▁cook.']","['▁म', '▁कुक', '▁हुँ।']","[2, 8, 104, 9, 842, 4, 3]","[2, 6, 526, 140, 4, 3]","[2, 4, 28, 11, 1493, 3]","[2, 4, 1651, 48, 3]",7,6,6,5
"['▁i', '▁am', '▁coming', '.']","['▁म', '▁आउदै', '▁छु', '।']","['▁i', '▁am', '▁coming.']","['▁म', '▁आउदै', '▁छु।']","[2, 8, 104, 788, 4, 3]","[2, 6, 2349, 119, 4, 3]","[2, 4, 28, 880, 3]","[2, 4, 866, 26, 3]",6,6,5,5
"['▁i', '▁am', '▁taller', '.']","['▁म', '▁अग्लो', '▁छु', '।']","['▁i', '▁am', '▁taller.']","['▁म', '▁अग्लो', '▁छु।']","[2, 8, 104, 2208, 4, 3]","[2, 6, 689, 119, 4, 3]","[2, 4, 28, 1, 3]","[2, 4, 188, 26, 3]",6,6,5,5
"['▁i', '▁ass', 'ume', '▁so', '.']","['▁म', '▁त्यस', 'ै', '▁मा', 'न्छु', '।']","['▁i', '▁assume', '▁so.']","['▁म', '▁त्यसै', '▁मान्छु।']","[2, 8, 1348, 2218, 174, 4, 3]","[2, 6, 681, 2947, 107, 115, 4, 3]","[2, 4, 1852, 1145, 3]","[2, 4, 2149, 2812, 3]",7,8,5,5
"['▁i', '▁came', '▁back', '.']","['▁म', '▁फर्केर', '▁आ', 'एँ', '▁', '।']","['▁i', '▁came', '▁back.']","['▁म', '▁फर्केर', '▁आएँ', '▁।']","[2, 8, 583, 339, 4, 3]","[2, 6, 2636, 51, 256, 2926, 4, 3]","[2, 4, 188, 311, 3]","[2, 4, 1141, 1494, 14, 3]",6,8,5,6
"['▁i', '▁eat', '▁alone', '.']","['▁म', '▁एक्लै', '▁खान्छु', '।']","['▁i', '▁eat', '▁alone.']","['▁म', '▁एक्लै', '▁खान्छु।']","[2, 8, 320, 677, 4, 3]","[2, 6, 372, 332, 4, 3]","[2, 4, 154, 327, 3]","[2, 4, 91, 82, 3]",6,6,5,5
"['▁i', '▁eat', '▁be', 'ans', '.']","['▁म', '▁गेडागुडी', '▁खान्छु', '।']","['▁i', '▁eat', '▁beans.']","['▁म', '▁गेडागुडी', '▁खान्छु।']","[2, 8, 320, 60, 643, 4, 3]","[2, 6, 2767, 332, 4, 3]","[2, 4, 154, 1, 3]","[2, 4, 975, 82, 3]",7,6,5,5
"['▁i', '▁eat', '▁bread', '.']","['▁म', '▁रोटी', '▁खान्छु', '।']","['▁i', '▁eat', '▁bread.']","['▁म', '▁रोटी', '▁खान्छु।']","[2, 8, 320, 1678, 4, 3]","[2, 6, 2435, 332, 4, 3]","[2, 4, 154, 1577, 3]","[2, 4, 1253, 82, 3]",6,6,5,5
"['▁i', '▁eat', '▁bread', '.']","['▁म', '▁प', 'ाउ', 'रो', 'टी', '▁खान्छु', '।']","['▁i', '▁eat', '▁bread.']","['▁म', '▁पाउरोटी', '▁खान्छु।']","[2, 8, 320, 1678, 4, 3]","[2, 6, 21, 69, 762, 418, 332, 4, 3]","[2, 4, 154, 1577, 3]","[2, 4, 2407, 82, 3]",6,9,5,5
"['▁i', '▁eat', '▁fruit', '.']","['▁म', '▁फल', 'फ', 'ूल', '▁खान्छु', '।']","['▁i', '▁eat', '▁fruit.']","['▁म', '▁फलफूल', '▁खान्छु।']","[2, 8, 320, 2118, 4, 3]","[2, 6, 1370, 2964, 458, 332, 4, 3]","[2, 4, 154, 1939, 3]","[2, 4, 2495, 82, 3]",6,8,5,5
"['▁i', '▁like', '▁pe', 'as', '.']","['▁मलाई', '▁म', 'टर', '▁मन', '▁पर्छ', '।']","['▁i', '▁like', '▁peas.']","['▁मलाई', '▁मटर', '▁मन', '▁पर्छ।']","[2, 8, 133, 333, 50, 4, 3]","[2, 49, 6, 605, 124, 216, 4, 3]","[2, 4, 35, 1, 3]","[2, 6, 2781, 25, 57, 3]",7,8,5,6
